name, first set, first rarity, first date, earliest non-common set, earliest non-common rarity, earliest non-common date, downshift set, downshift rarity, downshift date
Culling the Weak, Exodus, common, 1998-06-15, Media Inserts, rare, 2023-12-14, Mystery Booster 2, common, 2024-08-02,
Fertilid, Morningtide, common, 2008-02-01, Battlebond, uncommon, 2018-06-08, Ikoria: Lair of Behemoths, common, 2020-04-24,
Firebolt, Odyssey, common, 2001-10-01, Friday Night Magic 2007, rare, 2007-01-01, Duel Decks: Jace vs. Chandra, common, 2008-11-07,
Sift, Stronghold, common, 1998-03-02, Core Set 2019, uncommon, 2018-07-13, Double Masters, common, 2020-08-07,
Disfigure, Zendikar, common, 2009-10-02, Core Set 2020, uncommon, 2019-07-12, Double Masters 2022, common, 2022-07-08,
Remove Soul, Legends, common, 1994-06-01, Magic Player Rewards 2009, rare, 2009-01-01, Masters Edition III, common, 2009-09-07,
Syphon Mind, Onslaught, common, 2002-10-07, DCI Promos, rare, 2010-02-28, Commander 2011, common, 2011-06-17,
Fiery Conclusion, Ravnica: City of Guilds, common, 2005-10-07, Magic Origins, uncommon, 2015-07-17, Planechase Anthology, common, 2016-11-25,
Sylvan Ranger, Magic 2011, common, 2010-07-16, DCI Promos, rare, 2010-07-31, Duel Decks: Ajani vs. Nicol Bolas, common, 2011-09-02,
Etherium Sculptor, Shards of Alara, common, 2008-10-03, Secret Lair Drop, rare, 2022-07-07, The Brothers' War Commander, common, 2022-11-18,
Grasp of Darkness, Scars of Mirrodin, common, 2010-10-01, Oath of the Gatewatch, uncommon, 2016-01-22, Core Set 2021, common, 2020-07-03,
Hipparion, Ice Age, uncommon, 1995-06-03, Ice Age, uncommon, 1995-06-03, Fifth Edition, common, 1997-03-24,
Makeshift Munitions, Ixalan, uncommon, 2017-09-29, Ixalan, uncommon, 2017-09-29, Commander Legends, common, 2020-11-20,
Mountain Goat, Ice Age, common, 1995-06-03, Portal, uncommon, 1997-05-01, Classic Sixth Edition, common, 1999-04-21,
Advanced Stitchwing, Eldritch Moon, uncommon, 2016-07-22, Eldritch Moon, uncommon, 2016-07-22, Double Masters 2022, common, 2022-07-08,
Jalum Tome, Antiquities, uncommon, 1994-03-04, Antiquities, uncommon, 1994-03-04, Commander Legends, common, 2020-11-20,
Timberwatch Elf, Legions, common, 2003-02-03, Eternal Masters, uncommon, 2016-06-10, Commander Anthology, common, 2017-06-09,
Consider, Innistrad: Midnight Hunt, common, 2021-09-24, Wizards Play Network 2022, rare, 2022-03-05, Tales of Middle-earth Commander, common, 2023-06-23,
Doom Blade, Magic 2010, common, 2009-07-17, Magic Player Rewards 2011, rare, 2011-01-01, Commander 2011, common, 2011-06-17,
Relic of Progenitus, Shards of Alara, common, 2008-10-03, Magic Online Theme Decks, uncommon, 2010-11-08, Historic Anthology 5, common, 2021-05-27,
Tranquil Expanse, Oath of the Gatewatch, uncommon, 2016-01-22, Oath of the Gatewatch, uncommon, 2016-01-22, Aether Revolt, common, 2017-01-20,
Terminate, Planeshift, common, 2001-02-05, Friday Night Magic 2006, rare, 2006-01-01, Alara Reborn, common, 2009-04-30,
Terashi's Grasp, Betrayers of Kamigawa, common, 2005-02-04, Modern Masters, uncommon, 2013-06-07, Modern Masters 2015, common, 2015-05-22,
Treasure Cruise, Khans of Tarkir, common, 2014-09-26, Time Spiral Remastered, special, 2021-03-19, Commander 2021, common, 2021-04-23,
Charcoal Diamond, Mirage, uncommon, 1996-10-08, Mirage, uncommon, 1996-10-08, Commander Legends, common, 2020-11-20,
Qasali Pridemage, Alara Reborn, common, 2009-04-30, Friday Night Magic 2010, rare, 2010-01-01, Duel Decks: Ajani vs. Nicol Bolas, common, 2011-09-02,
Pacifism, Mirage, common, 1996-10-08, Tempest Remastered, uncommon, 2015-05-06, Eternal Masters, common, 2016-06-10,
Ivy Elemental, Odyssey, rare, 2001-10-01, Odyssey, rare, 2001-10-01, Iconic Masters, common, 2017-11-17,
Capsize, Tempest, common, 1997-10-14, Friday Night Magic 2003, rare, 2003-01-01, Magic Online Theme Decks, common, 2010-11-08,
Gingerbrute, Throne of Eldraine, common, 2019-10-04, Media Inserts, rare, 2023-08-04, Wilds of Eldraine, common, 2023-09-08,
Hordeling Outburst, Khans of Tarkir, uncommon, 2014-09-26, Khans of Tarkir, uncommon, 2014-09-26, Masters 25, common, 2018-03-16,
Knightly Valor, Return to Ravnica, common, 2012-10-05, Magic Origins, uncommon, 2015-07-17, Jumpstart, common, 2020-07-17,
Windrider Wizard, Zendikar Rising, uncommon, 2020-09-25, Zendikar Rising, uncommon, 2020-09-25, Commander Masters, common, 2023-08-04,
Faith's Fetters, Ravnica: City of Guilds, common, 2005-10-07, Magic Online Theme Decks, uncommon, 2010-11-08, Duel Decks Anthology: Divine vs. Demonic, common, 2014-12-05,
Cephalid Sage, Torment, uncommon, 2002-02-04, Torment, uncommon, 2002-02-04, Eternal Masters, common, 2016-06-10,
Gnawing Zombie, Magic 2014, uncommon, 2013-07-19, Magic 2014, uncommon, 2013-07-19, Modern Masters 2017, common, 2017-03-17,
Star Compass, Planeshift, uncommon, 2001-02-05, Planeshift, uncommon, 2001-02-05, Iconic Masters, common, 2017-11-17,
Sinkhole, Limited Edition Alpha, common, 1993-08-05, Judge Gift Cards 2010, rare, 2010-01-01, 30th Anniversary Edition, common, 2022-11-28,
Burning-Tree Emissary, Gatecrash, uncommon, 2013-02-01, Gatecrash, uncommon, 2013-02-01, Modern Masters 2017, common, 2017-03-17,
Secluded Steppe, Onslaught, common, 2002-10-07, Modern Horizons, uncommon, 2019-06-14, Historic Anthology 2, common, 2020-03-12,
Yavimaya Enchantress, Urza's Destiny, uncommon, 1999-06-07, Urza's Destiny, uncommon, 1999-06-07, Eternal Masters, common, 2016-06-10,
Relief Captain, Oath of the Gatewatch, uncommon, 2016-01-22, Oath of the Gatewatch, uncommon, 2016-01-22, Double Masters 2022, common, 2022-07-08,
Quicksilver Dagger, Apocalypse, common, 2001-06-04, Masters 25, uncommon, 2018-03-16, The List, common, 2024-08-02,
Glacial Ray, Arena League 2004, rare, 2004-01-01, Arena League 2004, rare, 2004-01-01, Champions of Kamigawa, common, 2004-10-01,
Elves of Deep Shadow, The Dark, rare, 1994-08-01, The Dark, rare, 1994-08-01, Ravnica: City of Guilds, common, 2005-10-07,
Fire // Ice, Apocalypse, uncommon, 2001-06-04, Apocalypse, uncommon, 2001-06-04, Ultimate Masters, common, 2018-12-07,
Oblivion Ring, Lorwyn, common, 2007-10-12, Friday Night Magic 2009, rare, 2009-01-01, Planechase, common, 2009-09-04,
Rockslide Ambush, Portal Three Kingdoms, uncommon, 1999-05-01, Portal Three Kingdoms, uncommon, 1999-05-01, Masters Edition IV, common, 2011-01-10,
Cast Down, Dominaria, uncommon, 2018-04-27, Dominaria, uncommon, 2018-04-27, Double Masters, common, 2020-08-07,
Tree of Tales, Mirrodin, common, 2003-10-02, Secret Lair Drop, rare, 2021-10-15, Duskmourn: House of Horror Commander, common, 2024-09-27,
Carrier Thrall, Battle for Zendikar, uncommon, 2015-10-02, Battle for Zendikar, uncommon, 2015-10-02, Double Masters 2022, common, 2022-07-08,
Master's Call, Mirrodin Besieged, common, 2011-02-04, DCI Promos, rare, 2011-02-28, Magic Online Promos, common, 2013-01-11,
Vigean Graftmage, Dissension, uncommon, 2006-05-05, Dissension, uncommon, 2006-05-05, Modern Masters 2015, common, 2015-05-22,
Peregrine Drake, Urza's Saga, uncommon, 1998-10-12, Urza's Saga, uncommon, 1998-10-12, Eternal Masters, common, 2016-06-10,
Just Fate, Portal Second Age, rare, 1998-06-24, Portal Second Age, rare, 1998-06-24, Masters Edition IV, common, 2011-01-10,
Moment's Peace, Odyssey, common, 2001-10-01, Secret Lair Drop, rare, 2023-12-06, The List, common, 2024-08-02,
Mons's Goblin Raiders, Limited Edition Alpha, common, 1993-08-05, Starter 1999, rare, 1999-07-01, Starter 2000, common, 2000-04-01,
Dark Ritual, Limited Edition Alpha, common, 1993-08-05, Judge Gift Cards 2009, rare, 2009-01-01, Duel Decks: Divine vs. Demonic, common, 2009-04-10,
Urborg Drake, Invasion, uncommon, 2000-10-02, Invasion, uncommon, 2000-10-02, Battlebond, common, 2018-06-08,
Viashino Slaughtermaster, Conflux, uncommon, 2009-02-06, Conflux, uncommon, 2009-02-06, Modern Masters 2015, common, 2015-05-22,
Colossal Dreadmaw, Ixalan, common, 2017-09-29, Secret Lair Drop, rare, 2023-12-06, Mystery Booster 2, common, 2024-08-02,
Sphere of the Suns, Mirrodin Besieged, uncommon, 2011-02-04, Mirrodin Besieged, uncommon, 2011-02-04, Modern Masters 2015, common, 2015-05-22,
Hammerheim Deadeye, Planar Chaos, uncommon, 2007-02-02, Planar Chaos, uncommon, 2007-02-02, Modern Masters, common, 2013-06-07,
Telethopter, Tempest, uncommon, 1997-10-14, Tempest, uncommon, 1997-10-14, Tempest Remastered, common, 2015-05-06,
Ethereal Armor, Return to Ravnica, common, 2012-10-05, Time Spiral Remastered, special, 2021-03-19, Pioneer Challenger Decks 2021, common, 2021-10-15,
Crumbling Vestige, Friday Night Magic 2016, rare, 2016-01-01, Friday Night Magic 2016, rare, 2016-01-01, Oath of the Gatewatch, common, 2016-01-22,
Militia Bugler, Core Set 2019, uncommon, 2018-07-13, Core Set 2019, uncommon, 2018-07-13, Double Masters 2022, common, 2022-07-08,
Devoted Druid, Shadowmoor, common, 2008-05-02, Ultimate Masters, uncommon, 2018-12-07, The List, common, 2024-08-02,
Renewed Faith, Onslaught, common, 2002-10-07, Amonkhet, uncommon, 2017-04-28, Masters 25, common, 2018-03-16,
Funeral March, Homelands, common, 1995-10-01, Homelands, uncommon, 1995-10-01, Fifth Edition, common, 1997-03-24,
Jaspera Sentinel, Kaldheim, common, 2021-02-05, Secret Lair Drop, rare, 2023-10-02, The List, common, 2024-08-02,
Kodama's Reach, Champions of Kamigawa, common, 2004-10-01, Secret Lair Drop, rare, 2021-10-22, Neon Dynasty Commander, common, 2022-02-18,
Scourge Devil, Shards of Alara, uncommon, 2008-10-03, Shards of Alara, uncommon, 2008-10-03, Modern Masters 2017, common, 2017-03-17,
Wild Mongrel, Odyssey, common, 2001-10-01, Friday Night Magic 2006, rare, 2006-01-01, Duel Decks: Garruk vs. Liliana, common, 2009-10-30,
Inspiring Overseer, Streets of New Capenna, common, 2022-04-29, Secret Lair Drop, rare, 2024-02-23, Bloomburrow Commander, common, 2024-08-02,
Elvish Mystic, Magic 2014, common, 2013-07-19, Friday Night Magic 2014, rare, 2014-01-01, Magic Online Promos, common, 2014-02-14,
Dream Fracture, Eventide, uncommon, 2008-07-25, Eventide, uncommon, 2008-07-25, Conspiracy, common, 2014-06-06,
Mortician Beetle, Rise of the Eldrazi, rare, 2010-04-23, Rise of the Eldrazi, rare, 2010-04-23, Modern Masters 2017, common, 2017-03-17,
Chain Lightning, Legends, common, 1994-06-01, Eternal Masters, uncommon, 2016-06-10, Dominaria Remastered, common, 2023-01-13,
Ash Barrens, Commander 2016, common, 2016-11-11, Masters 25, uncommon, 2018-03-16, Commander Anthology Volume II, common, 2018-06-08,
Balduvian Rage, Salvat 2005, uncommon, 2005-08-22, Salvat 2005, uncommon, 2005-08-22, Double Masters, common, 2020-08-07,
Barren Moor, Onslaught, common, 2002-10-07, Modern Horizons, uncommon, 2019-06-14, Historic Anthology 2, common, 2020-03-12,
Explore, Worldwake, common, 2010-02-05, Secret Lair Drop, rare, 2020-09-03, Commander Legends, common, 2020-11-20,
Crush Underfoot, Lorwyn, uncommon, 2007-10-12, Lorwyn, uncommon, 2007-10-12, Modern Masters, common, 2013-06-07,
Blood Aspirant, Theros Beyond Death, uncommon, 2020-01-24, Theros Beyond Death, uncommon, 2020-01-24, Commander Masters, common, 2023-08-04,
Desperate Ravings, Innistrad, uncommon, 2011-09-30, Innistrad, uncommon, 2011-09-30, Eternal Masters, common, 2016-06-10,
Merchant Scroll, Homelands, uncommon, 1995-10-01, Homelands, uncommon, 1995-10-01, Mystery Booster 2, common, 2024-08-02,
Skyraker Giant, Magic Origins, uncommon, 2015-07-17, Magic Origins, uncommon, 2015-07-17, Commander Legends, common, 2020-11-20,
Tormod's Crypt, The Dark, uncommon, 1994-08-01, The Dark, uncommon, 1994-08-01, Chronicles, common, 1995-07-01,
Brothers of Fire, The Dark, rare, 1994-08-01, The Dark, rare, 1994-08-01, Fourth Edition, common, 1995-04-01,
Redeem, Urza's Saga, uncommon, 1998-10-12, Urza's Saga, uncommon, 1998-10-12, Eighth Edition, common, 2003-07-28,
Graceful Reprieve, Morningtide, uncommon, 2008-02-01, Morningtide, uncommon, 2008-02-01, Modern Masters 2017, common, 2017-03-17,
Thermo-Alchemist, Eldritch Moon, common, 2016-07-22, Innistrad: Midnight Hunt, uncommon, 2021-09-24, Jumpstart 2022, common, 2022-12-02,
Diabolic Edict, Tempest, common, 1997-10-14, Arena League 2001, rare, 2001-01-01, Magic Online Promos, common, 2013-01-11,
Howling Golem, Dominaria, uncommon, 2018-04-27, Dominaria, uncommon, 2018-04-27, Commander Legends, common, 2020-11-20,
Warp Artifact, Limited Edition Alpha, rare, 1993-08-05, Limited Edition Alpha, rare, 1993-08-05, Masters Edition IV, common, 2011-01-10,
Wildfire Emissary, Mirage, uncommon, 1996-10-08, Mirage, uncommon, 1996-10-08, Eternal Masters, common, 2016-06-10,
Weirding Wood, Shadows over Innistrad, uncommon, 2016-04-08, Shadows over Innistrad, uncommon, 2016-04-08, Shadows over Innistrad Remastered, common, 2023-03-21,
Ground Assault, Gatecrash, uncommon, 2013-02-01, Gatecrash, uncommon, 2013-02-01, Modern Masters 2017, common, 2017-03-17,
Prized Unicorn, Magic 2010, uncommon, 2009-07-17, Magic 2010, uncommon, 2009-07-17, Core Set 2020, common, 2019-07-12,
Brass Knuckles, Streets of New Capenna, uncommon, 2022-04-29, Streets of New Capenna, uncommon, 2022-04-29, Commander Masters, common, 2023-08-04,
Iron Golem, Adventures in the Forgotten Realms, uncommon, 2021-07-23, Adventures in the Forgotten Realms, uncommon, 2021-07-23, Alchemy Horizons: Baldur's Gate, common, 2022-07-07,
Barbed Sliver, Tempest, uncommon, 1997-10-14, Tempest, uncommon, 1997-10-14, Tempest Remastered, common, 2015-05-06,
Pristine Talisman, New Phyrexia Promos, common, 2011-05-12, Iconic Masters, uncommon, 2017-11-17, Commander Anthology Volume II, common, 2018-06-08,
Thrummingbird, Scars of Mirrodin, uncommon, 2010-10-01, Scars of Mirrodin, uncommon, 2010-10-01, Modern Masters 2015, common, 2015-05-22,
Savage Surge, Return to Ravnica, uncommon, 2012-10-05, Return to Ravnica, uncommon, 2012-10-05, Theros, common, 2013-09-27,
Shiny Impetus, Commander 2020, uncommon, 2020-04-17, Commander 2020, uncommon, 2020-04-17, Commander Legends: Battle for Baldur's Gate, common, 2022-06-10,
Ashnod's Altar, Antiquities, uncommon, 1994-03-04, Antiquities, uncommon, 1994-03-04, Chronicles Foreign Black Border, common, 1995-07-01,
Killer Whale, Exodus, uncommon, 1998-06-15, Exodus, uncommon, 1998-06-15, Vintage Masters, common, 2014-06-16,
Ebony Horse, Arabian Nights, rare, 1993-12-17, Arabian Nights, rare, 1993-12-17, Masters Edition IV, common, 2011-01-10,
Forked Bolt, Rise of the Eldrazi, uncommon, 2010-04-23, Rise of the Eldrazi, uncommon, 2010-04-23, Duel Decks: Zendikar vs. Eldrazi, common, 2015-08-28,
Runed Servitor, Rise of the Eldrazi, uncommon, 2010-04-23, Rise of the Eldrazi, uncommon, 2010-04-23, Modern Masters 2015, common, 2015-05-22,
Afterlife, Mirage, uncommon, 1996-10-08, Mirage, uncommon, 1996-10-08, Vintage Masters, common, 2014-06-16,
Ingenious Thief, Portal, uncommon, 1997-05-01, Portal, uncommon, 1997-05-01, Starter 1999, common, 1999-07-01,
Groundskeeper, Mercadian Masques, uncommon, 1999-10-04, Mercadian Masques, uncommon, 1999-10-04, Ultimate Masters, common, 2018-12-07,
Cathodion, Urza's Saga, uncommon, 1998-10-12, Urza's Saga, uncommon, 1998-10-12, Modern Masters 2015, common, 2015-05-22,
Sickleslicer, New Phyrexia, uncommon, 2011-05-13, New Phyrexia, uncommon, 2011-05-13, Modern Masters 2015, common, 2015-05-22,
Accumulated Knowledge, Nemesis, common, 2000-02-14, Friday Night Magic 2004, rare, 2004-01-01, Magic Online Promos, common, 2014-10-17,
Circle of Protection: Red, Limited Edition Alpha, common, 1993-08-05, Eighth Edition, uncommon, 2003-07-28, Magic Online Promos, common, 2013-01-11,
Kitesail, Worldwake, common, 2010-02-05, Magic 2013, uncommon, 2012-07-13, Modern Masters 2015, common, 2015-05-22,
Sakura-Tribe Elder, Champions of Kamigawa, common, 2004-10-01, Junior APAC Series, rare, 2006-01-01, Archenemy, common, 2010-06-18,
Seat of the Synod, Mirrodin, common, 2003-10-02, Secret Lair Drop, rare, 2021-10-15, The Brothers' War Commander, common, 2022-11-18,
Ravenous Bloodseeker, Shadows over Innistrad Promos, uncommon, 2016-04-08, Shadows over Innistrad Promos, uncommon, 2016-04-08, Shadows over Innistrad Remastered, common, 2023-03-21,
Wee Dragonauts, Arena League 2006, rare, 2006-01-01, Arena League 2006, rare, 2006-01-01, Guildpact, common, 2006-02-03,
Lightning Strike, Theros, common, 2013-09-27, Ixalan, uncommon, 2017-09-29, Game Night 2019, common, 2019-11-15,
Kazuul's Toll Collector, Oath of the Gatewatch, uncommon, 2016-01-22, Oath of the Gatewatch, uncommon, 2016-01-22, Double Masters, common, 2020-08-07,
Seal of Cleansing, Nemesis, common, 2000-02-14, Friday Night Magic 2005, rare, 2005-01-01, Magic Online Theme Decks, common, 2010-11-08,
Might of Old Krosa, Time Spiral, uncommon, 2006-10-06, Time Spiral, uncommon, 2006-10-06, Double Masters 2022, common, 2022-07-08,
Coercion, Visions, common, 1997-02-03, Portal Second Age, uncommon, 1998-06-24, Classic Sixth Edition, common, 1999-04-21,
Phyrexian Gargantua, Apocalypse, uncommon, 2001-06-04, Apocalypse, uncommon, 2001-06-04, Commander Masters, common, 2023-08-04,
Perilous Research, Coldsnap, uncommon, 2006-07-21, Coldsnap, uncommon, 2006-07-21, Modern Masters, common, 2013-06-07,
Snow-Covered Plains, Ice Age, common, 1995-06-03, Secret Lair Drop, rare, 2019-12-04, Kaldheim, common, 2021-02-05,
Lava Coil, Guilds of Ravnica, uncommon, 2018-10-05, Guilds of Ravnica, uncommon, 2018-10-05, Double Masters 2022, common, 2022-07-08,
Torch Fiend, Dark Ascension, common, 2012-02-03, Magic 2013, uncommon, 2012-07-13, Conspiracy, common, 2014-06-06,
Bloodcrazed Neonate, Innistrad, common, 2011-09-30, Wizards Play Network 2011, rare, 2011-09-30, Magic Online Promos, common, 2014-10-17,
Izzet Charm, Duel Decks: Izzet vs. Golgari, uncommon, 2012-09-07, Duel Decks: Izzet vs. Golgari, uncommon, 2012-09-07, Double Masters 2022, common, 2022-07-08,
Fortified Area, Legends, uncommon, 1994-06-01, Legends, uncommon, 1994-06-01, Fourth Edition, common, 1995-04-01,
Wild Nacatl, Shards of Alara, common, 2008-10-03, Friday Night Magic 2010, rare, 2010-01-01, Duel Decks: Ajani vs. Nicol Bolas, common, 2011-09-02,
Seeker, Legends, uncommon, 1994-06-01, Legends, uncommon, 1994-06-01, Fourth Edition Foreign Black Border, common, 1995-04-01,
Skinwing, Mirrodin Besieged, uncommon, 2011-02-04, Mirrodin Besieged, uncommon, 2011-02-04, Double Masters, common, 2020-08-07,
Bone to Ash, Dark Ascension, common, 2012-02-03, Core Set 2019, uncommon, 2018-07-13, Core Set 2020, common, 2019-07-12,
Arbor Elf, Worldwake, common, 2010-02-05, Wizards Play Network 2021, rare, 2021-06-18, Tales of Middle-earth Commander, common, 2023-06-23,
Dissolve, Theros, uncommon, 2013-09-27, Theros, uncommon, 2013-09-27, Iconic Masters, common, 2017-11-17,
Beetleback Chief, Planechase 2012, uncommon, 2012-06-01, Planechase 2012, uncommon, 2012-06-01, Vintage Masters, common, 2014-06-16,
Obsessive Skinner, Shadows over Innistrad, uncommon, 2016-04-08, Shadows over Innistrad, uncommon, 2016-04-08, Shadows over Innistrad Remastered, common, 2023-03-21,
Stone Quarry, Shadows over Innistrad, uncommon, 2016-04-08, Shadows over Innistrad, uncommon, 2016-04-08, Kaladesh, common, 2016-09-30,
Sisters of the Flame, The Dark, uncommon, 1994-08-01, The Dark, uncommon, 1994-08-01, Fourth Edition, common, 1995-04-01,
Khalni Garden, Worldwake, common, 2010-02-05, Legendary Cube Prize Pack, uncommon, 2015-11-18, Duel Decks: Nissa vs. Ob Nixilis, common, 2016-09-02,
Chromatic Sphere, Invasion, uncommon, 2000-10-02, Invasion, uncommon, 2000-10-02, Mirrodin, common, 2003-10-02,
Phantom Flock, Judgment, uncommon, 2002-05-27, Judgment, uncommon, 2002-05-27, Dominaria Remastered, common, 2023-01-13,
Molten Birth, Magic 2014, uncommon, 2013-07-19, Magic 2014, uncommon, 2013-07-19, Ultimate Masters, common, 2018-12-07,
Alabaster Mage, Magic 2012, uncommon, 2011-07-15, Magic 2012, uncommon, 2011-07-15, Double Masters, common, 2020-08-07,
Warren Weirding, Morningtide, uncommon, 2008-02-01, Morningtide, uncommon, 2008-02-01, Modern Masters, common, 2013-06-07,
Compulsive Research, Ravnica: City of Guilds, common, 2005-10-07, Legendary Cube Prize Pack, uncommon, 2015-11-18, Archenemy: Nicol Bolas, common, 2017-06-16,
Timber Gorge, Oath of the Gatewatch, uncommon, 2016-01-22, Oath of the Gatewatch, uncommon, 2016-01-22, Amonkhet, common, 2017-04-28,
Dreg Mangler, Duel Decks: Izzet vs. Golgari, uncommon, 2012-09-07, Duel Decks: Izzet vs. Golgari, uncommon, 2012-09-07, Double Masters 2022, common, 2022-07-08,
Snow-Covered Island, Ice Age, common, 1995-06-03, Secret Lair Drop, rare, 2019-12-04, Kaldheim, common, 2021-02-05,
Great Furnace, Mirrodin, common, 2003-10-02, Secret Lair Drop, rare, 2021-10-15, The Brothers' War Commander, common, 2022-11-18,
Gather the Townsfolk, Wizards Play Network 2012, rare, 2012-01-01, Wizards Play Network 2012, rare, 2012-01-01, Dark Ascension, common, 2012-02-03,
Dinrova Horror, Gatecrash, uncommon, 2013-02-01, Gatecrash, uncommon, 2013-02-01, Modern Masters 2017, common, 2017-03-17,
Hungry Flames, Aether Revolt, uncommon, 2017-01-20, Aether Revolt, uncommon, 2017-01-20, Jumpstart, common, 2020-07-17,
Peach Garden Oath, Portal Three Kingdoms, uncommon, 1999-05-01, Portal Three Kingdoms, uncommon, 1999-05-01, Masters Edition III, common, 2009-09-07,
Spellstutter Sprite, Lorwyn, common, 2007-10-12, Friday Night Magic 2011, rare, 2011-01-01, Magic Online Promos, common, 2013-01-11,
Invigorate, Mercadian Masques, common, 1999-10-04, Legendary Cube Prize Pack, uncommon, 2015-11-18, The List, common, 2024-08-02,
Persistent Petitioners, Ravnica Allegiance, common, 2019-01-25, Secret Lair Drop, rare, 2021-12-28, Ravnica Remastered, common, 2024-01-12,
Dark-Dweller Oracle, Core Set 2019, rare, 2018-07-13, Core Set 2019, rare, 2018-07-13, Double Masters 2022, common, 2022-07-08,
Wanderlust, Limited Edition Alpha, uncommon, 1993-08-05, Limited Edition Alpha, uncommon, 1993-08-05, Masters Edition, common, 2007-09-10,
Anvilwrought Raptor, Theros, uncommon, 2013-09-27, Theros, uncommon, 2013-09-27, Core Set 2020, common, 2019-07-12,
Hurloon Minotaur, Limited Edition Alpha, common, 1993-08-05, Oversized 90's Promos, rare, 1995-08-01, Fifth Edition, common, 1997-03-24,
Basking Rootwalla, Torment, common, 2002-02-04, Friday Night Magic 2007, rare, 2007-01-01, Duel Decks: Garruk vs. Liliana, common, 2009-10-30,
Faceless Butcher, Torment, common, 2002-02-04, Time Spiral Timeshifted, special, 2006-10-06, Premium Deck Series: Graveborn, common, 2011-11-18,
Call to the Feast, Ixalan, uncommon, 2017-09-29, Ixalan, uncommon, 2017-09-29, Double Masters 2022, common, 2022-07-08,
Izzet Boilerworks, Guildpact, common, 2006-02-03, Modern Masters 2015, uncommon, 2015-05-22, Commander 2015, common, 2015-11-13,
Chandra's Fury, Magic 2013, common, 2012-07-13, URL/Convention Promos, rare, 2013-03-22, Magic Origins, common, 2015-07-17,
Kird Ape, Arabian Nights, common, 1993-12-17, Friday Night Magic 2005, rare, 2005-01-01, Eternal Masters, common, 2016-06-10,
Owl Familiar, Portal, common, 1997-05-01, Starter 1999, uncommon, 1999-07-01, Masters Edition IV, common, 2011-01-10,
Gnarlback Rhino, Core Set 2020, uncommon, 2019-07-12, Core Set 2020, uncommon, 2019-07-12, Double Masters 2022, common, 2022-07-08,
Scuttlemutt, Shadowmoor, common, 2008-05-02, Core Set 2020, uncommon, 2019-07-12, The List, common, 2024-08-02,
Inner-Flame Igniter, Lorwyn, uncommon, 2007-10-12, Lorwyn, uncommon, 2007-10-12, Modern Masters 2015, common, 2015-05-22,
Grinning Ignus, Future Sight, common, 2007-05-04, Modern Masters, uncommon, 2013-06-07, Time Spiral Remastered, common, 2021-03-19,
Ashnod's Transmogrant, Antiquities, uncommon, 1994-03-04, Antiquities, uncommon, 1994-03-04, Chronicles, common, 1995-07-01,
Virulent Sliver, Future Sight, common, 2007-05-04, Secret Lair Drop, rare, 2022-12-16, The List, common, 2023-02-10,
Imperiosaur, Future Sight, uncommon, 2007-05-04, Future Sight, uncommon, 2007-05-04, Modern Masters, common, 2013-06-07,
Skaab Goliath, Innistrad, uncommon, 2011-09-30, Innistrad, uncommon, 2011-09-30, Commander Legends, common, 2020-11-20,
Foul Imp, Stronghold, common, 1998-03-02, Seventh Edition, uncommon, 2001-04-11, Ninth Edition, common, 2005-07-29,
Lumengrid Gargoyle, Mirrodin Besieged, uncommon, 2011-02-04, Mirrodin Besieged, uncommon, 2011-02-04, Commander Legends, common, 2020-11-20,
Resurrection, Limited Edition Alpha, uncommon, 1993-08-05, Limited Edition Alpha, uncommon, 1993-08-05, Ultimate Masters, common, 2018-12-07,
Changeling Outcast, Modern Horizons, common, 2019-06-14, Modern Horizons 1 Timeshifts, uncommon, 2021-06-18, Jumpstart: Historic Horizons, common, 2021-08-26,
Castigate, Arena League 2006, rare, 2006-01-01, Arena League 2006, rare, 2006-01-01, Guildpact, common, 2006-02-03,
Conclave Naturalists, Magic Origins, uncommon, 2015-07-17, Magic Origins, uncommon, 2015-07-17, Double Masters, common, 2020-08-07,
Mistmoon Griffin, Weatherlight, uncommon, 1997-06-09, Weatherlight, uncommon, 1997-06-09, Vintage Masters, common, 2014-06-16,
Syncopate, Odyssey, common, 2001-10-01, Return to Ravnica, uncommon, 2012-10-05, Dominaria, common, 2018-04-27,
Peace Strider, Mirrodin Besieged, uncommon, 2011-02-04, Mirrodin Besieged, uncommon, 2011-02-04, Battlebond, common, 2018-06-08,
Spitting Earth, Mirage, common, 1996-10-08, Starter 1999, uncommon, 1999-07-01, Seventh Edition, common, 2001-04-11,
Mogg Fanatic, Tempest, common, 1997-10-14, Friday Night Magic 2002, rare, 2002-01-01, Tempest Remastered, common, 2015-05-06,
Marble Diamond, Mirage, uncommon, 1996-10-08, Mirage, uncommon, 1996-10-08, Commander Legends, common, 2020-11-20,
Manamorphose, Shadowmoor, common, 2008-05-02, Modern Masters, uncommon, 2013-06-07, The List, common, 2019-11-07,
Witch's Cauldron, Core Set 2021, uncommon, 2020-07-03, Core Set 2021, uncommon, 2020-07-03, Commander Masters, common, 2023-08-04,
Gut Shot, New Phyrexia, uncommon, 2011-05-13, New Phyrexia, uncommon, 2011-05-13, Modern Masters 2015, common, 2015-05-22,
Adventurous Impulse, Dominaria, common, 2018-04-27, Strixhaven Mystical Archive, uncommon, 2021-04-23, Jumpstart 2022, common, 2022-12-02,
